"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4977.0333","46","25","11","43","103","0.628","4738","4384","51.94","3568","3206","52.67","2485","2259","52.38","215","188","53.35","233.02","202.32","53.53","2248","2039","52.44","1328","1202","52.49","181","157","53.55","13.63","86.94","912","831","52.32","677","606","52.77","124","105","54.15","18.32","82.67","1336","1208","52.52","651","596","52.21","57","52","52.29","8.76","91.28","2151","1994","51.89","1050","958","52.29","25","28","47.17","2.38","97.08","8.65","91.68","1.003"
"2","Arizona Coyotes","82","4956.2167","35","39","8","34","78","0.476","4357","4790","47.63","3200","3640","46.78","2266","2541","47.14","208","244","46.02","201.08","221.35","47.60","1949","2210","46.86","1182","1303","47.57","165","184","47.28","13.96","85.88","846","852","49.82","637","635","50.08","120","133","47.43","18.84","79.06","1103","1358","44.82","545","668","44.93","45","51","46.88","8.26","92.37","1998","2237","47.18","968","1145","45.81","41","51","44.57","4.24","95.55","9.18","90.40","0.996"
"3","Boston Bruins","82","4978.1","42","31","9","38","93","0.567","4692","4712","49.89","3556","3528","50.20","2620","2492","51.25","236","228","50.86","208.8","213.41","49.45","2043","2099","49.32","1292","1261","50.61","190","178","51.63","14.71","85.88","760","796","48.84","596","611","49.38","137","125","52.29","22.99","79.54","1283","1303","49.61","696","650","51.71","53","53","50.00","7.61","91.85","2284","2276","50.09","1212","1124","51.88","40","41","49.38","3.30","96.35","9.01","90.85","0.999"
"4","Buffalo Sabres","82","4991.1167","35","36","11","33","81","0.494","4325","4602","48.45","3284","3507","48.36","2418","2513","49.04","199","215","48.07","197.47","211.7","48.26","1874","1974","48.70","1124","1191","48.55","153","172","47.08","13.61","85.56","801","824","49.29","585","609","48.99","106","125","45.89","18.12","79.47","1073","1150","48.27","539","582","48.08","47","47","50.00","8.72","91.92","2102","2262","48.17","1194","1247","48.91","39","39","50.00","3.27","96.87","8.23","91.44","0.997"
"5","Carolina Hurricanes","82","5004.2333","36","31","15","33","87","0.530","4680","4229","52.53","3481","3249","51.72","2451","2262","52.01","196","221","47.00","229.13","215.89","51.49","2099","2044","50.66","1244","1208","50.73","154","183","45.70","12.38","84.85","899","914","49.59","664","635","51.12","104","123","45.81","15.66","80.63","1200","1130","51.50","580","573","50.30","50","60","45.45","8.62","89.53","2216","1874","54.18","1144","987","53.68","40","33","54.79","3.50","96.66","8.00","90.23","0.982"
"6","Columbus Blue Jackets","82","4985.2833","34","40","8","28","76","0.463","4358","4800","47.59","3259","3540","47.93","2387","2550","48.35","213","248","46.20","242.36","245.14","49.72","2142","2167","49.71","1327","1323","50.08","178","193","47.98","13.41","85.41","1031","915","52.98","784","698","52.90","136","133","50.56","17.35","80.95","1111","1252","47.02","543","625","46.49","42","60","41.18","7.73","90.40","1872","2237","45.56","1010","1136","47.06","27","44","38.03","2.67","96.13","8.92","90.27","0.992"
"7","Calgary Flames","82","4973.2","35","40","7","33","77","0.470","4532","4703","49.07","3294","3383","49.33","2398","2377","50.22","229","257","47.12","212.17","224.84","48.55","2183","2183","50.00","1347","1302","50.85","193","217","47.07","14.33","83.33","859","914","48.45","658","696","48.60","122","149","45.02","18.54","78.59","1324","1269","51.06","689","606","53.20","71","68","51.08","10.30","88.78","2011","2117","48.72","1012","987","50.63","35","37","48.61","3.46","96.25","9.55","89.19","0.987"
"8","Chicago Blackhawks","82","4972.5833","47","26","9","46","103","0.628","4593","4533","50.33","3348","3400","49.61","2499","2528","49.71","234","207","53.06","219.38","221.31","49.78","2040","2053","49.84","1271","1321","49.04","187","163","53.43","14.71","87.66","822","906","47.57","642","710","47.49","118","111","51.53","18.38","84.37","1218","1147","51.50","629","611","50.73","69","52","57.02","10.97","91.49","2159","2156","50.03","1150","1138","50.26","42","37","53.16","3.65","96.75","9.36","91.81","1.012"
"9","Colorado Avalanche","82","4958.45","39","39","4","35","82","0.500","4189","5105","45.07","3169","3704","46.11","2349","2650","46.99","212","240","46.90","192.41","244.08","44.08","1775","2314","43.41","1123","1406","44.40","163","182","47.25","14.51","87.06","734","968","43.13","565","724","43.83","117","121","49.16","20.71","83.29","1041","1346","43.61","558","682","45.00","46","61","42.99","8.24","91.06","1980","2295","46.32","1110","1138","49.38","44","48","47.83","3.96","95.78","9.03","90.94","1.000"
"10","Dallas Stars","82","4968.4","50","23","9","48","109","0.665","5090","4662","52.19","3747","3438","52.15","2626","2372","52.54","265","228","53.75","250.19","222.83","52.89","2495","2215","52.97","1462","1278","53.36","203","183","52.59","13.89","85.68","1008","958","51.27","715","685","51.07","145","135","51.79","20.28","80.29","1487","1257","54.19","747","593","55.75","58","48","54.72","7.76","91.91","2137","2003","51.62","1065","996","51.67","40","43","48.19","3.76","95.68","10.09","90.39","1.005"
