season,month,day,year,location,game_type,home_team,away_team,home_score,away_score,tie
1917,12,19,1917,1,r,Ottawa Senators (1st),Montreal Canadiens,4,7,0
1917,12,19,1917,1,r,Montreal Wanderers,Toronto Maple Leafs,10,9,0
1917,12,22,1917,1,r,Toronto Maple Leafs,Ottawa Senators (1st),11,4,0
1917,12,22,1917,1,r,Montreal Wanderers,Montreal Canadiens,2,11,0
1917,12,26,1917,1,r,Montreal Wanderers,Ottawa Senators (1st),3,6,0
1917,12,26,1917,1,r,Toronto Maple Leafs,Montreal Canadiens,7,5,0
1917,12,29,1917,1,r,Ottawa Senators (1st),Montreal Wanderers,9,2,0
1917,12,29,1917,1,r,Montreal Canadiens,Toronto Maple Leafs,9,2,0
1917,1,2,1918,1,r,Montreal Canadiens,Montreal Wanderers,0,0,1
1917,1,2,1918,1,r,Ottawa Senators (1st),Toronto Maple Leafs,5,6,0
1917,1,5,1918,1,r,Toronto Maple Leafs,Montreal Wanderers,0,0,1
1917,1,5,1918,1,r,Montreal Canadiens,Ottawa Senators (1st),6,5,0
1917,1,9,1918,1,r,Toronto Maple Leafs,Montreal Canadiens,6,4,0
1917,1,12,1918,1,r,Montreal Canadiens,Ottawa Senators (1st),9,4,0
1917,1,14,1918,1,r,Ottawa Senators (1st),Toronto Maple Leafs,9,6,0
1917,1,16,1918,1,r,Toronto Maple Leafs,Ottawa Senators (1st),5,4,0
1917,1,19,1918,1,r,Montreal Canadiens,Toronto Maple Leafs,5,1,0
1917,1,21,1918,1,r,Ottawa Senators (1st),Montreal Canadiens,3,5,0
1917,1,23,1918,1,r,Montreal Canadiens,Ottawa Senators (1st),3,4,0
1917,1,26,1918,1,r,Ottawa Senators (1st),Toronto Maple Leafs,6,3,0
1917,1,28,1918,1,r,Toronto Maple Leafs,Montreal Canadiens,5,1,0
1917,1,30,1918,1,r,Ottawa Senators (1st),Montreal Canadiens,2,5,0
1917,2,2,1918,1,r,Montreal Canadiens,Toronto Maple Leafs,11,2,0
1917,2,4,1918,1,r,Toronto Maple Leafs,Ottawa Senators (1st),8,2,0
1917,2,6,1918,1,r,Ottawa Senators (1st),Montreal Canadiens,6,3,0
1917,2,9,1918,1,r,Montreal Canadiens,Toronto Maple Leafs,3,7,0
1917,2,11,1918,1,r,Toronto Maple Leafs,Ottawa Senators (1st),3,1,0
1917,2,13,1918,1,r,Ottawa Senators (1st),Toronto Maple Leafs,1,6,0
1917,2,16,1918,1,r,Montreal Canadiens,Ottawa Senators (1st),10,4,0
1917,2,18,1918,1,r,Toronto Maple Leafs,Montreal Canadiens,0,9,0
1917,2,20,1918,1,r,Montreal Canadiens,Toronto Maple Leafs,5,4,0
1917,2,23,1918,1,r,Toronto Maple Leafs,Ottawa Senators (1st),9,3,0
1917,2,25,1918,1,r,Ottawa Senators (1st),Montreal Canadiens,8,0,0
1917,2,27,1918,0,r,Montreal Canadiens,Ottawa Senators (1st),1,3,0
1917,3,2,1918,1,r,Toronto Maple Leafs,Montreal Canadiens,5,3,0
1917,3,6,1918,1,r,Ottawa Senators (1st),Toronto Maple Leafs,9,3,0
1917,3,11,1918,1,p,Toronto Maple Leafs,Montreal Canadiens,7,3,0
1917,3,13,1918,1,p,Montreal Canadiens,Toronto Maple Leafs,4,3,0
1918,12,21,1918,1,r,Montreal Canadiens,Ottawa Senators (1st),2,5,0
1918,12,23,1918,1,r,Toronto Maple Leafs,Montreal Canadiens,3,4,0
1918,12,26,1918,1,r,Ottawa Senators (1st),Toronto Maple Leafs,5,2,0
1918,12,28,1918,1,r,Montreal Canadiens,Toronto Maple Leafs,6,3,0
1918,12,31,1918,1,r,Toronto Maple Leafs,Ottawa Senators (1st),4,2,0
1918,1,2,1919,1,r,Ottawa Senators (1st),Montreal Canadiens,7,2,0
1918,1,4,1919,1,r,Montreal Canadiens,Ottawa Senators (1st),5,2,0
1918,1,7,1919,1,r,Toronto Maple Leafs,Montreal Canadiens,6,7,0
1918,1,9,1919,1,r,Ottawa Senators (1st),Toronto Maple Leafs,4,2,0
1918,1,11,1919,1,r,Montreal Canadiens,Toronto Maple Leafs,13,4,0
1918,1,14,1919,1,r,Toronto Maple Leafs,Ottawa Senators (1st),5,2,0
1918,1,16,1919,1,r,Ottawa Senators (1st),Montreal Canadiens,6,10,0
1918,1,18,1919,1,r,Montreal Canadiens,Ottawa Senators (1st),5,3,0
1918,1,21,1919,1,r,Toronto Maple Leafs,Montreal Canadiens,11,3,0
1918,1,23,1919,1,r,Ottawa Senators (1st),Toronto Maple Leafs,3,2,0
1918,1,25,1919,1,r,Montreal Canadiens,Ottawa Senators (1st),0,1,0
1918,1,28,1919,1,r,Toronto Maple Leafs,Ottawa Senators (1st),1,2,0
1918,1,30,1919,1,r,Ottawa Senators (1st),Montreal Canadiens,3,2,0
1918,2,1,1919,1,r,Montreal Canadiens,Toronto Maple Leafs,10,0,0
1918,2,4,1919,1,r,Toronto Maple Leafs,Montreal Canadiens,6,3,0
1918,2,6,1919,1,r,Ottawa Senators (1st),Toronto Maple Leafs,3,1,0
1918,2,8,1919,1,r,Montreal Canadiens,Ottawa Senators (1st),4,3,0
1918,2,11,1919,1,r,Toronto Maple Leafs,Montreal Canadiens,6,4,0
1918,2,13,1919,1,r,Ottawa Senators (1st),Montreal Canadiens,7,0,0
1918,2,15,1919,1,r,Montreal Canadiens,Toronto Maple Leafs,8,2,0
1918,2,18,1919,1,r,Toronto Maple Leafs,Ottawa Senators (1st),3,4,0
1918,2,20,1919,1,r,Ottawa Senators (1st),Toronto Maple Leafs,9,3,0
